Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:01.52]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.70]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.70]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:00:03.74]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.TheEightRedsTests.GroupASpeed [2 s]
  Standard Output Messages:
 A | #41 1.00 s | text 0 | last-wpm 0.00 | wpm null | reacquiring True | retunes 0 | follows 0 | since 1.25 s | tone 600
 A | #41 1.25 s | text 0 | last-wpm 0.00 | wpm null | reacquiring True | retunes 0 | follows 0 | since 1.50 s | tone 600
 A | #41 1.50 s | text 0 | last-wpm 0.00 | wpm null | reacquiring True | retunes 1 | follows 1 | since 1.75 s | tone 625
 A | #41 1.75 s | text 0 | last-wpm 0.00 | wpm null | reacquiring True | retunes 1 | follows 1 | since 2.00 s | tone 625
 A | #41 2.00 s | text 0 | last-wpm 0.00 | wpm null | reacquiring True | retunes 1 | follows 1 | since 2.25 s | tone 625
 A | #41 2.25 s | text 0 | last-wpm 0.00 | wpm null | reacquiring True | retunes 1 | follows 1 | since 2.50 s | tone 625
 A | #41 2.50 s | text 0 | last-wpm 0.00 | wpm null | reacquiring True | retunes 1 | follows 1 | since 2.75 s | tone 625
 A | #41 2.75 s | text 3 | last-wpm 10.00 | wpm 10 | reacquiring False | retunes 1 | follows 1 | since 3.00 s | tone 625
 A | #41 3.00 s | text 3 | last-wpm 10.00 | wpm 10 | reacquiring False | retunes 1 | follows 1 | since 3.25 s | tone 625
 A | #41 3.25 s | text 3 | last-wpm 10.00 | wpm 10 | reacquiring False | retunes 1 | follows 1 | since 3.50 s | tone 625
