Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:00.06]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.23]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.24]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:04:18.39]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhatPitchTheDecoderIsOnTests.OnEveryCaptureInTheTree [4 m 18 s]
  Standard Output Messages:
 window | cw-2026-08-17-013622 | 24 to 26 s | instrument 612.3 | tracker 600.0 | mix 600.0 | measured 0.00 | err -12.3 | swing 12.5 dB | keyed 0.65 s
 window | cw-2026-08-17-013622 | 25 to 27 s | instrument 612.2 | tracker 600.0 | mix 600.0 | measured 0.00 | err -12.2 | swing 12.6 dB | keyed 0.55 s
 window | cw-2026-08-17-134712 | 17 to 19 s | instrument 501.7 | tracker 600.0 | mix 600.0 | measured 0.00 | err +98.3 | swing 39.8 dB | keyed 0.70 s | >25
 window | cw-2026-08-17-134712 | 18 to 20 s | instrument 501.4 | tracker 600.0 | mix 600.0 | measured 0.00 | err +98.6 | swing 36.8 dB | keyed 1.11 s | >25
 window | cw-2026-08-17-134712 | 19 to 21 s | instrument 500.8 | tracker 500.0 | mix 500.0 | measured 0.00 | err -0.8 | swing 38.6 dB | keyed 0.45 s
 window | cw-2026-08-17-134712 | 20 to 22 s | instrument 502.0 | tracker 500.0 | mix 500.0 | measured 0.00 | err -2.0 | swing 37.6 dB | keyed 0.46 s
 window | cw-2026-08-17-134712 | 21 to 23 s | instrument 499.8 | tracker 500.0 | mix 500.0 | measured 0.00 | err +0.2 | swing 33.1 dB | keyed 1.14 s
 window | cw-2026-08-17-134712 | 22 to 24 s | instrument 501.3 | tracker 500.0 | mix 500.0 | measured 0.00 | err -1.3 | swing 29.9 dB | keyed 1.33 s
 window | cw-2026-08-17-134712 | 23 to 25 s | instrument 502.9 | tracker 500.0 | mix 500.0 | measured 0.00 | err -2.9 | swing 37.4 dB | keyed 0.75 s
 window | cw-2026-08-17-134712 | 24 to 26 s | instrument 501.7 | tracker 500.0 | mix 500.0 | measured 0.00 | err -1.7 | swing 35.8 dB | keyed 0.51 s
 window | cw-2026-08-17-134712 | 25 to 27 s | instrument 499.1 | tracker 500.0 | mix 500.0 | measured 0.00 | err +0.9 | swing 35.4 dB | keyed 0.42 s
 window | unadjudicated/cw-2026-08-18-003016 | 0 to 2 s | instrument 668.3 | tracker 600.0 | mix 600.0 | measured 0.00 | err -68.3 | swing 30.7 dB | keyed 0.82 s | >25
 window | unadjudicated/cw-2026-08-18-003016 | 1 to 3 s | instrument 668.8 | tracker 675.0 | mix 675.0 | measured 0.00 | err +6.2 | swing 27.9 dB | keyed 0.83 s
 window | unadjudicated/cw-2026-08-18-003016 | 2 to 4 s | instrument 668.0 | tracker 675.0 | mix 675.0 | measured 0.49 | err +7.0 | swing 26.6 dB | keyed 0.98 s
 window | unadjudicated/cw-2026-08-18-003016 | 3 to 5 s | instrument 668.4 | tracker 670.0 | mix 670.0 | measured 0.99 | err +1.6 | swing 24.5 dB | keyed 1.01 s
